,language_pair,split,threshold_strategy,exp_group,MCC,seed,threshold,precision,recall,f1,accuracy
0,en-cs,dev,best,second_step_base_demetr_auth_data,0.4984186589717865,928,0.58,0.56886225938797,0.59375,0.5810397267341614,0.8629999756813049
1,en-cs,dev,default,second_step_base_demetr_auth_data,0.48671624064445496,928,0.5,0.5423728823661804,0.6000000238418579,0.5697329640388489,0.8550000190734863
2,en-cs,dev,extreme,second_step_base_demetr_auth_data,0.41325438022613525,928,0.1,0.3861386179924011,0.731249988079071,0.5053995847702026,0.7710000276565552
3,en-cs,test,best,second_step_base_demetr_auth_data,0.48349565267562866,2710,0.56,0.5517241358757019,0.5925925970077515,0.5714285969734192,0.8320000171661377
4,en-cs,test,default,second_step_base_demetr_auth_data,0.4720471203327179,2710,0.5,0.5370370149612427,0.6137565970420837,0.5728394985198975,0.8270000219345093
5,en-cs,test,extreme,second_step_base_demetr_auth_data,0.41502857208251953,2710,0.1,0.4138889014720917,0.7883597612380981,0.5428050756454468,0.7490000128746033
6,en-de,dev,best,second_step_base_demetr_auth_data,0.4990200698375702,107,0.51,0.680497944355011,0.5836299061775208,0.6283524632453918,0.8059999942779541
7,en-de,dev,default,second_step_base_demetr_auth_data,0.4974651038646698,107,0.5,0.6693548560142517,0.5907473564147949,0.6275992393493652,0.8029999732971191
8,en-de,dev,extreme,second_step_base_demetr_auth_data,0.42960360646247864,107,0.1,0.46092185378074646,0.8185053467750549,0.5897436141967773,0.6800000071525574
9,en-de,test,best,second_step_base_demetr_auth_data,0.5009433627128601,107,0.51,0.6884615421295166,0.6215277910232544,0.6532846689224243,0.8100000023841858
10,en-de,test,default,second_step_base_demetr_auth_data,0.5032015442848206,107,0.5,0.6818181872367859,0.625,0.6521739363670349,0.8080000281333923
11,en-de,test,extreme,second_step_base_demetr_auth_data,0.4636636972427368,107,0.1,0.46768060326576233,0.8541666865348816,0.6044226288795471,0.6779999732971191
12,en-zh,dev,best,second_step_base_demetr_auth_data,0.38194021582603455,42,0.47000000000000003,0.49593496322631836,0.43262410163879395,0.46212121844291687,0.8579999804496765
13,en-zh,dev,default,second_step_base_demetr_auth_data,0.3809233605861664,42,0.5,0.49593496322631836,0.43262410163879395,0.46212121844291687,0.8579999804496765
14,en-zh,dev,extreme,second_step_base_demetr_auth_data,0.32051151990890503,42,0.1,0.40361446142196655,0.4751773178577423,0.4364820718765259,0.8270000219345093
15,en-zh,test,best,second_step_base_demetr_auth_data,0.24723336100578308,42,0.47000000000000003,0.39669421315193176,0.3037974536418915,0.34408602118492126,0.8169999718666077
16,en-zh,test,default,second_step_base_demetr_auth_data,0.24374239146709442,42,0.5,0.39830508828163147,0.297468364238739,0.34057971835136414,0.8180000185966492
17,en-zh,test,extreme,second_step_base_demetr_auth_data,0.24148006737232208,42,0.1,0.3522012531757355,0.3544303774833679,0.35331231355667114,0.7950000166893005
